AU,OG,TI,AB,DE,CR,BP_EP,PY,IS,LA,DI,SO,SN,URL,PDFURL,loc_arquivo,size
Henrique Sartori de Almeida Prado,Universidade Federal da Grande Dourados,"Monções v. 1, n.1 – jan/jun 2012","Expediente da Monções: Revista de Relações Internacionais da UFGDVol. 1, n.1 - jan/jun 2012",Expediente;,,I-II,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2083,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2083/1172,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-02.pdf,154079
Cristina Soreanu Pecequilo,UNIFESP,Entrevista com a professora Dr.ª Cristina Soreanu Pecequilo (UNIFESP),"Entrevista da Profª Drª Cristina Soreanu Pecequilo, professora Adjunta da Universidade Federal de São Paulo e coordenadora do curso de Relações Internacionais do câmpus de Osasco. A entrevista foi concedida durante sua participação na II Semana Acadêmica de Relações Internacionais da UFGD, onde ministrou a Conferência de Abertura do evento: O ensino das Relações Internacionais no Brasil. Pecequilo aborda temas como a atuação do profissional de RI e suas oportunidades no mercado de trabalho.","Ensino de Relações Internacionais no Brasil, Relações Internacionais do Brasil, História da Política Externa Brasileira.",,9-12,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2082,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2082/1140,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-04.pdf,268069
Taís Sandrim Julião,FUNAI,A graduação em Relações Internacionais no Brasil,"Este artigo propõe uma discussão sobre a graduação em Relações Internacionais no Brasil. Para tal empreendimento, foram adotados métodos qualitativos e quantitativos, balizados pela abordagem histórico-analítica. A partir da análise de sua trajetória, argumenta-se que tanto sua criação quanto seu posterior crescimento se relaciona com determinadas dinâmicas da inserção internacional do país.",Ensino de Relações Internacionais no Brasil. Relações Internacionais do Brasil. História da Política Externa Brasileira.,"\tALMEIDA, Paulo Roberto de. 1993. Estudos de Relações Internacionais do Brasil: Etapas da produção historiográfica brasileira, 1927-1992: In: Revista Brasileira de Política Internacional, n. 1, pp. 11-36, 1993.\t, \tALMEIDA, Paulo Roberto de. 1998. Revista Brasileira de Política Internacional: quatro décadas a serviço da inserção internacional do Brasil: In: Revista Brasileira de Política Internacional (Número Especial 40 anos), n. 41, pp. 42-65.\t, \tALMEIDA, Paulo Roberto de. 1995. O Estudo das Relações Internacionais do Brasil: um diálogo entre a diplomacia e a academia: Brasília: LGE, 2006; BARBÉ, Ésther. Relaciones Internacionales. Madrid: Tecnos.\t, \tBELL, Duncan. 2009. Writing the World: disciplinary history and beyond In: International Affairs: n. 85, v. I, pp. 3-22. Disponível em: http://www3.interscience.wiley.com/journal/121637302/abstract?CRETRY=1&SRETRY=0. Acesso em: 07 jul. 2009.\t, \tBRIGAGÃO, Clóvis. 2004. Relações Internacionais no Brasil: instituições, programas, cursos e redes: Rio de Janeiro: Gramma.\t, \tFONSECA JR., Gelson. 1989. “Estudos sobre Política Externa no Brasil: os Tempos Recentes (1950-1980)”: In: FONSECA JR. Gelson; LEÃO, Valdemar Carneiro (Orgs.) Temas de Política Externa Brasileira. Brasília: Fundação Alexandre de Gusmão/ Instituto de Pesquisa de Relações Internacionais/ Editora Ática (v. II), pp. 275-283.\t, \tHERZ, Mônica. 2002. O Crescimento da Área de Relações Internacionais no Brasil: In: Contexto Internacional, Rio de Janeiro, v. 24, n.1, pp. 7-40, jan/jun.\t, \tLESSA, Antônio Carlos. 2005a. “O ensino de relações internacionais no Brasil”: In: SARAIVA, José Flávio Sombra Saraiva; CERVO, Amado Luiz. O crescimento das Relações Internacionais no Brasil. Brasília: Instituto Brasileiro de Relações Internacionais (IBRI), pp. 33-50.\t, \tLESSA, Antônio Carlos. 2005b. Instituições, atores e dinâmicas do ensino e da pesquisa em Relações Internacionais no Brasil: o diálogo entre a história, a ciência política e os novos paradigmas de interpretação (dos anos 90 aos nossos dias): In: Revista Brasileira de Política Internacional. Rio de Janeiro, v. 48, n.2, pp. 169-184.\t, \tLESSA, Antônio Carlos. 2006. “A intensificação do debate acadêmico e social sobre relações internacionais e política exterior no Brasil”: In: ALTEMANI, Henrique & LESSA, Antônio Carlos. Relações Internacionais do Brasil: temas e agendas v.2. São Paulo: Editora Saraiva.\t, \tMENDONÇA, Ana Waleska P. C. 2000. A Universidade no Brasil: In: Revista Brasileira de Educação, Maio/Junho/Julho/Agosto n. 14, pp. 131-150. Disponível em: http://www.anped.org.br/rbe/rbedigital/RBDE14/RBDE14_09_ANA_WALESKA_P_C_MENDONCA.pdf. Acesso em: 07 jul. 2009.\t, \tMIYAMOTO, Shiguenoli. 1999. O estudo das Relações Internacionais no Brasil: o Estado da Arte In: Revista de Sociologia e Política: Curitiba, n.12, jun., pp.83-98.\t, \tMIYAMOTO, Shiguenoli. 2003. O ensino das relações internacionais no Brasil: problemas e perspectivas: In: Revista de Sociologia e Política. Curitiba, n.20, jun., pp.103–114, 2003. Disponível em: http://www.scielo.br/pdf/rsocp/n20/n20a9.pdf.\t, \tSANTOS, Norma Breda dos. 2005. História das Relações Internacionais no Brasil: esboço de uma avaliação sobre a área: In: História, vol. 24, n. 1, pp. 11-39.\t, \tSATO, Eiiti. 1999. Os desafios para a formação de uma identidade comum no ensino de Relações Internacionais: In: V Encontro de Estudantes e Graduados em Relações Internacionais do CONESUL, Brasília, 30 de outubro. Mimeo.\t, \tSCHWARTZMAN, Simon. 2001. Um Espaço para a Ciência: a Formação da Comunidade Científica no Brasil: Brasília: Ministério da Ciência e Tecnologia. Centro de Estudos Estratégicos.\t, \tVIZENTINI, Paulo Fagundes. 2005. “A evolução da produção intelectual e dos estudos acadêmicos de relações internacionais no Brasil”: In: SARAIVA, José Flávio Sombra Saraiva; CERVO, Amado Luiz. O crescimento das Relações Internacionais no Brasil. Brasília: Instituto Brasileiro de Relações Internacionais (IBRI), pp. 17-31.\t",13-48,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2073,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2073/1134,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-05.pdf,535213
Júlia Tainá Marinho de Salles Menezes,,Um estudo analítico dos três cursos de pós-graduação stricto sensu em Relações Internacionais  melhor avaliados pela capes no triênio 2007-2009,Este artigo analisa como os cursos de pós-graduação em Relações Internacionais estão estruturados e quais suas contribuições para o ensino e pesquisa sobre a área no Brasil. A primeira parte traça os principais marcos históricos e as dificuldades encontradas à consolidação do curso no país. A segunda parte mostra a situação dos programas melhor avaliados pelo Sistema de Avaliação da CAPES.,Pós-graduação. Relações Internacionais. Ensino. Pesquisa. Avaliação.,,49-75,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/1709,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/1709/1131,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-06.pdf,296911
Roberto Moll Neto,Instituto Federal Fluminense,Gramsci e as Relações Internacionais: para superar a reificação do Estado e a anarcofilia.,"Na formação do campo das relações internacionais, as teorias ortodoxas realistas e liberais, baseados na ideia de Estado de Natureza, consagraram a anarquia como princípio ordenador (ou desordenador) do Sistema Internacional. Consequentemente, os Estados são caracterizados como os sujeitos, nem sempre únicos, desse Estado de Natureza anárquico que é o Sistema Internacional. Contudo, a ideia de Estado de Natureza que consagra a anarquia e a reificação do Estado é um pressuposto filosófico abstrato e especulativo, que não pode ser verificado na realidade. Por outro lado, outras teorias do campo heterodoxo das Relações Internacionais partem de outros pressupostos, ainda que a ideia de anarquia e de reificação do Estado imperem no campo. Neste artigo, pretendemos mostrar como uma abordagem teórica gramsciana pode ser associada aos conceitos de Pierre Bourdieu e aos elementos materiais e narrativos da construção da identidade nacional para contrapor a ideia de anarquia e de reificação do Estado.",Teoria das Relações Internacionais. Estado-Nação. Identidade Nacional.,"\tANDERSON, Benedict. 1983. Imagined Communities: Reflections on the origin and Spread of Nationalism: New York: Verso.\t, \tARRIGHI, Giovanni e SILVER, Berverly J. 2001. Caos e Governabilidade no moderno Sistema Mundial: Editora UFRJ; Contraponto: Rio de Janeiro.\t, \tARRIGHI, Giovanni. 1996. O Longo Século XX: Rio de Janeiro: Contraponto.\t, \tBOURDIEU, Pierre. 1990. Coisas Ditas: São Paulo, Brasiliense.\t, \tBOURDIEU, Pierre. 1983. Sociologia: São Paulo, Ática.\t, \tBOURDIEU, Pierre. 1996. Razões Práticas: São Paulo: Papyrus.\t, \tBOURDIEU, Pierre. 2004. Os Usos e abusos da ciências: Por uma sociologia clinica do campo cientifico: São Paulo: Unesp.\t, \tCALHOUN, Craig. 2007. Nacionalismo: Buenos Aires: Libros del Zorzal.\t, \tCOX, Robert W. 2001. The Political Economy of a Plural World: critical reflections on power, morals and civilization: Londres: Routledge.\t, \tFAIRCLOUGH, Norman. 2001. Discurso e Mudança Social: Brasília: Editora Universidade de Brasília.\t, \tGRAMSCI, Antonio. 2002. Cadernos do Cárcere. Vol3: Maquiavel: Notas sobre o Estado e a política: Rio de Janeiro: Civilização Brasileira.\t, \tGRAMSCI, Antonio. 1982. Os intelectuais e a organização da cultura: Rio de Janeiro: Civilização Brasileira.\t, \tGRAMSCI, Antonio. 1987. Concepção dialética da história: Rio de Janeiro: Civilização Brasileira.\t, \tGILL, Stephen (org). 2007. Gramsci, materialismo histórico e relações internacionais: Rio de Janeiro: Editora UFRJ.\t, \tHOBSBAWM, Eric & RANGER, Terence (org). 1997. A invenção das tradições: Rio de Janeiro: Paz e Terra.\t, \tKEOHANE, R. O., MARTIN, L. L. 1995. The Promise of Institutionalist Theory: International Security, v. 20, n. 1, p. 39-51.\t, \tMARX, Karl e ENGELS, Friedrich. 2004. A ideologia Alemã: São Paulo: Martin Claret.\t, \tMEARSHEIMER, J. J. 1994. The False Promise of International Institutions: International Security, v. 19, n. 3, p. 5-49.\t, \tMORGENTHAU, Hans J. 2002. A política entre as nações: Brasília: IPRI.\t, \tMURPHY, Craig N. 1994. International Organization and Industrial change: Global governance since 1850: Polity Press: Cambridge.\t, \tNYE, Joseph & KEOHANE, Robert. 1997. Power and Interdependence: World Politics in Transition: Brown.\t, \tSMITH, A. D. 1999. Myths and memories of the nation: New York: Oxford University Press.\t, \tVIGEVANI, et al. 2010. A Contribuição marxista para o estudo das Relações Internacionais: IN: 7º Encontro Brasileiro de Ciência Política. Recife.\t, \tWALTZ, K. 2000. Structural Realism after the Cold War: International Security. v. 25, n.1, p.5-41.\t, \tWALTZ, K. 1979. Theory of international politics: New York: Newbery Award Records.\t",76-101,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2074,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2074/1135,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-07.pdf,391612
Marcio Augusto Scherma,IESB,As fronteiras nas Relações Internacionais,"As fronteiras são regiões geográficas que se distinguem das demais especialmente devido ao fato de que nelas, as interações internacionais são uma realidade cotidiana. Apesar dessa importância, o tema foi até hoje pouco explorado sob o enfoque das Relações Internacionais. O tratamento dado na academia foi eminentemente de caráter geográfico ou geopolítico, abordando a questão das fronteiras eminentemente do ponto de vista estratégico-militar, com maior foco em temas relativos à segurança nacional e defesa da soberania. Assim, o artigo pretende introduzir ao debate teórico das Relações Internacionais o conceito de “fronteira”. A hipótese apresentada sugere que o modo como os conceitos-chave das Relações Internacionais foram abordados pelo mainstream das Relações Internacionais acarretaram nesse “silêncio” em torno do conceito de “fronteira”. Isso, por sua vez, dificultou a abordagem do tema pelos teóricos e gerou um gap entre as teorias tradicionais e a realidade cotidiana das fronteiras.",Fronteiras. Teoria de Relações Internacionais. Soberania.,,102-132,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2075,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2075/1136,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-08.pdf,242405
Tchella Fernandes Maso;Lara Martim Rodrigues Sélis,UNILA;UFU,Na véspera do tempo: repensando as Relações Internacionais,"Com base na perspectiva pós-colonial, que visa responder aos silêncios da modernidade, o artigo situa as Relações Internacionais enquanto ciência, sua proximidade aos interesses anglo-saxões e a consequente construção de objetos de estudo centrados nos temas de guerra e paz. A partir de tal panorama, defende a América Latina como um espaço privilegiado de enunciação, de construção de novas problemáticas e respostas capazes de desenvolver um saber agregador. A voz do subalterno e a importância de trazê-lo para o campo de estudos do internacional é o fio condutor do artigo, demarcando a importância de repensar as Relações Internacionais e seu processo de construção do conhecimento.",Teoria das Relações Internacionais. América Latina. Pós-colonialismo. Modernidade.,,133-155,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/2076,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/2076/1137,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-09.pdf,374651
Xaman Korai Minillo,,A importância do estudo das Relações Internacionais africanas para o  campo das Relações Internacionais.,"A partir de um estudo sobre o papel das Relações Internacionais na manutenção do regime de Robert Mugabe no Zimbábue, foi analisado o papel tradicionalmente designado a Estados pequenos e fracos nas Teorias de Relações Internacionais. Foram examinados criticamente os paradigmas clássicos e seus conceitos, buscando explicações satisfatórias para as questões que emergem no estudo das Relações Internacionais africanas. Percebe-se que, indo além dos tradicionais focos de estudo, como as grandes potências, e trazendo a África para o centro dos debates teóricos como fonte de explicações aplicáveis aos fenômenos do meio internacional, é possível repensar as Relações Internacionais de modo mais inclusivo e democrático. Assim podem ser reavaliadas as lentes teóricas que fundamentam o olhar sobre os fenômenos internacionais, contribuindo para o desenvolvimento do campo de estudos.",Relações internacionais africanas. Teorias de Relações Internacionais. Poder. Discurso. Zimbábue.,,156-181,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/1717,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/1717/1133,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-10.pdf,256766
Lucas Amaral Batista Leite,Programa de Pós-Graduação em Relações Internacionais San Tiago Dantas (UNESP/UNICAMP/PUCSP).,O discurso como objeto de estudo e instrumento metodológico  nas Relações Internacionais,"Este trabalho tem o objetivo de apresentar teorizações acerca do papel do discurso que possam servir de ferramenta para o estudo das Relações Internacionais (RI). Dessa forma, apresentaremos uma breve discussão sobre o papel da linguagem e do discurso nas interações sociais e como esses elementos se ligam à discussão de identidade existente dentro da disciplina. Não será nosso foco exaurir as possibilidades acerca do “discurso” como método ou como proposta de análise dentro das Relações Internacionais, mas demonstrar que já existem autores trabalhando nesse sentido e que mesmo nas áreas consideradas mais ligadas ao estudo de teorias mais positivistas, novas possibilidades se abrem para os pesquisadores das RI. Nesse sentido, apresentamos uma variação entre a utilização do discurso como ferramenta de estudo em teorias das RI, de uma proposta com elementos específicos como a “Securitização” da Escola de Copenhagen, aos estudos pós-estruturalistas de Lene Hansen e David Campbell, mais críticos em relação à estabilidade dos discursos e das estruturas que eles formam. Esperamos com isso, demonstrar que além de já existir uma teorização acerca do discurso nas RI, também é possível pensar em um método próprio da área para a análise de fenômenos relacionados à política internacional.",Análise do Discurso. Securitização. Pós-Estruturalismo.,,182-207,2012,v. 1 n. 1 (2012),pt,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/1630,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/1630/1127,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-11.pdf,426385
Bruno Ayllón Pino,Instituto Universitario de Desarrollo y Cooperación (Universidad Complutense Madrid) / Instituto de Pesquisa Econômica Aplicada (IPEA),Nuevos horizontes para los profesionales de las Relaciones Internacionales en Brasil - la Cooperación Internacional para el Desarrollo,"El artículo presenta un panorama de las oportunidades que ofrece el campo profesional de la Cooperación Internacional para el Desarrollo (CID) a los gestores de las Relaciones Internacionales. Se enfatizan los aspectos vinculados a la planificación de las acciones de cooperación y se considera a la misma como una política pública peculiar, que debería librarse de la subordinación a las lógicas de la política exterior. Se reflexiona sobre la necesidad que enfrentan muchos países en desarrollo y otros países emergentes, como Brasil, fuertemente implicados en la Cooperación Sur – Sur, de construir una política pública de cooperación, sostenible y duradera, más allá de los compromisos personales de sus líderes políticos. Finalmente, se elaboran algunas recomendaciones para los profesionales de las Relaciones Internacionales interesados en trabajar en el campo de la CID.",Cooperación Internacional para el Desarrollo. Relaciones Internacionales. Cooperación Sur – Sur. Gestión de la cooperación.,,208-224,2012,v. 1 n. 1 (2012),es,,Monções: Revista de Relações Internacionais da UFGD,2316-8323,https://ojs.ufgd.edu.br/index.php/moncoes/article/view/1827,https://ojs.ufgd.edu.br/index.php/moncoes/article/download/1827/1171,/media/hdvm09/bd/007/002/002/014/moncoes/pdf/2012/2012-1-1-12.pdf,224026
